station_id,name,lat,lon,capacity,is_charging_station
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,47,False
7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893,23,True
7002,St. George St / Bloor St W,43.66713121831853,-79.3995550638237,19,False
7003,Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,15,False
7005,King St W / York St,43.6480008,-79.383177,23,False
7006,Bay St / College St (East Side),43.660439,-79.385525,31,False
7007,College St / Huron St,43.658148,-79.398167,19,False
7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,19,False
7010,King St W / Spadina Ave,43.64514249449372,-79.39510358283808,19,False
7013,Scott St / The Esplanade,43.64659663170443,-79.37530913867988,19,False
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,17,False
7015,King St W / Bay St (West Side),43.64852,-79.380576,39,False
7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,35,False
7017,Widmer St / Adelaide St W - SMART,43.647547634759206,-79.39155200496292,12,False
7018,Bremner Blvd / Rees St,43.641529,-79.386741,48,False
7019,Temperance St Station,43.650945,-79.379498,55,False
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,33,False
7021,Bay St / Albert St,43.653264,-79.382458,63,False
7023,College St / Borden St,43.6571,-79.4056,11,False
7024,Dundonald St / Church St,43.66663,-79.38148,38,False
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,27,False
7026,Bay St / St. Joseph St,43.665527,-79.387499,15,False
7027,Beverley St / Dundas St W,43.652823,-79.393388,31,False
7028,Gould St / Mutual St,43.6582,-79.3768,31,False
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,15,False
7030,Bay St / Wellesley St W,43.664088,-79.387095,35,False
7031,Jarvis St / Isabella St,43.668991,-79.379385,39,False
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,15,False
7033,Union Station,43.645609,-79.380386,43,False
7034,Church St / Bloor St E,43.671389,-79.382919,15,False
7035,Queen St W / Ossington Ave,43.643975,-79.419576,43,False
7036,Trinity St /Front St E,43.651318,-79.36023,19,False
7037,Bathurst St / Dundas St W,43.65220761646196,-79.4055689857289,41,False
7038,Dundas St W / Yonge St,43.656094,-79.381484,31,False
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19,False
7040,Euclid Ave / Bloor St W,43.664467,-79.414783,19,False
7041,Edward St / Yonge St,43.656729,-79.382736,23,False
7042,Sherbourne St / Wellesley St E,43.6673,-79.374,31,False
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19,False
7044,Church St / Alexander St,43.663722,-79.380288,35,False
7045,Bond St / Queen St E,43.653236,-79.376716,37,False
7046,Niagara St / Richmond St W,43.64534,-79.409597,42,False
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,25,False
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646322912152456,-79.37746467249836,47,False
7049,Portland St / Queen St W,43.6476,-79.4015,15,False
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,16,True
7052,Wellington St W / Bay St,43.647259,-79.379878,55,False
7053,Metro Hall Plaza,43.645859,-79.38783,27,False
7054,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,11,False
7055,Jarvis St / Carlton St,43.66207,-79.37617,15,False
7057,Simcoe St / Wellington St W South,43.6458569,-79.3853654,27,False
7058,Huron St / Harbord St,43.6637,-79.400053,39,False
7059,Front St W / Blue Jays Way,43.643473,-79.390477,15,False
7061,Dalton Rd / Bloor St W,43.6662942,-79.4066433,15,False
7063,Queen's Park / Bloor St W,43.668456,-79.393899,23,False
7064,51 Parliament St,43.652169,-79.362841,19,False
7065,Dundas St E / Parliament St,43.659575,-79.365769,15,False
7066,Willcocks St / St. George St,43.662085,-79.397735,15,False
7067,Yonge St / Lake Shore Blvd E,43.643795,-79.375413,27,False
7069,Queen St W / Spadina Ave,43.649147,-79.395504,11,False
7070,25 York St – Union Station South,43.643667,-79.380414,11,False
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,23,False
7073,Spadina Ave / Fort York Blvd,43.640114,-79.393249,23,False
7074,King St E / Church St,43.650204164723476,-79.37335141779099,55,False
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27,True
7076,York St / Queens Quay W,43.640132,-79.380464,57,False
7077,College Park South,43.65945682499,-79.38236466864778,19,False
7078,College St / Major St,43.6576,-79.4032,15,False
7079,McGill St / Church St,43.660694,-79.379052,19,False
7084,High Park - Grenadier Cafe,43.645599,-79.4657123,11,False
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,15,False
7086,High Park - West Rd,43.651922,-79.465693,23,False
7087,Danforth Ave / Aldridge Ave,43.684758,-79.316767,11,False
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,15,False
7089,Church St  / Wood St,43.662712,-79.379903,27,False
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,19,False
7091,Donlands Subway Station,43.681114,-79.3373885,15,False
7093,Danforth Ave / Gough Ave,43.678401,-79.346289,24,False
7094,14 Arundel Ave,43.6784834,-79.3513564,25,True
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14,False
7096,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,19,False
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,15,False
